Language	MeanLessThanGround	pGround	
Arabic	0	0.0625	
Catalan	0	0.03125	
Czech	0.1666667	0.21875	
Dutch	0	0.0625	
Finnish	0.6	1	
French	0	0.0625	
German	0.2	0.375	
Hindi	0	0.03125	
Norwegian	0	0.0625	
Spanish	0	0.0625	
Basque	0	0.0625	
Bulgarian	0	0.0625	
Croatian	0.2	0.375	
Estonian	0	0.0625	
Hebrew	0	0.0625	
Japanese	0	0.0625	
Polish	0.4	1	
Romanian	0	0.0625	
Slovak	0.6	1	
Slovenian	0	0.0625	
Swedish	0	0.0625	
Afrikaans	0	0.0625	
Chinese	0	0.0625	
Danish	0	0.03125	
Greek	0	0.0625	
Hungarian	0.2	0.375	
North_Sami	1	0.0625	
Persian	0	0.0625	
Serbian	0	0.0625	
Turkish	0	0.0625	
Ukrainian	0.4	1	
Vietnamese	0	0.0625	
Amharic-Adap	0	0.0625	
Armenian-Adap	0	0.0625	
Breton-Adap	0.4	1	
Buryat-Adap	0.2	0.375	
Cantonese-Adap	0.6	1	
Faroese-Adap	0	0.0625	
Kazakh-Adap	0	0.0625	
Kurmanji-Adap	1	0.0625	
Naija-Adap	0.2	0.375	
Thai-Adap	0	0.0625	
Uyghur-Adap	0	0.0625	
Bambara-Adap	0.4	1	
Erzya-Adap	0	0.0625	
Maltese	0	0.0625	
Latvian	0.3333333	0.6875	
Indonesian	0	0.0625	
Urdu	0	0.0625	
Portuguese	0	0.0625	
English	0	0.0625	
Italian	0	0.015625	
Russian	0.2	0.375	
Korean	0	0.015625	
