Language	OOV_Perc	VocabSize	MostFrequentOOVFreq	HapaxAmongOOV
Arabic	10.1127019297	51344	8	0.215132797539
Catalan	5.93162598693	30491	3	0.509708394347
Czech	20.8882887058	157232	20	0.188247162505
Dutch	9.84345842836	34650	2	0.730735475757
Finnish	26.2471587142	74527	4	0.569827151135
French	8.30339202616	56524	6	0.364597616744
German	15.9606936249	48884	2	0.766129948525
Hindi	2.66256473817	18100	2	0.923762024418
Norwegian	11.0435227928	52156	4	0.471417031069
Spanish	10.3933270779	63332	7	0.349751730178
Basque	11.2754844492	20945	1	1.0
Bulgarian	12.6238205448	27061	2	0.924860382891
Croatian	15.0754014884	34001	2	0.732236297022
Estonian	13.7115298666	23192	1	1.0
Hebrew	4.67039600773	16963	1	1.0
Japanese	7.61634074347	23211	1	1.0
Polish	15.8033615986	21499	1	1.0
Romanian	12.0048555794	31557	2	0.689751128004
Slovak	13.8536795141	22886	1	1.0
Slovenian	15.2655033851	31279	2	0.908430493684
Skipping UD_Swedish_Sign_Language
Skipping UD_Swedish_Sign_Language
Swedish	7.67901776547	20845	1	1.0
Afrikaans	0.0	5149	0	1.0
Skipping UD_Chinese-CFL
Skipping UD_Chinese-CFL
Chinese	8.07757636761	18988	1	1.0
Danish	7.3288501819	16648	1	1.0
Greek	1.32843146544	10701	1	1.0
Hungarian	2.02634245187	10640	1	1.0
Substituted test for dev partition
North_Sami	0.0	7702	0	1.0
Persian	3.125	14278	1	1.0
Serbian	6.74505358343	15117	1	1.0
Turkish	10.7021811906	15147	1	1.0
Ukrainian	19.1548141645	26363	1	1.0
Vietnamese	0.0	4413	0	1.0
Amharic-Adap	0.0	1473	0	1.0
Armenian-Adap	0.0	4726	0	1.0
Breton-Adap	0.0	2454	0	1.0
Buryat-Adap	0.0	4304	0	1.0
Cantonese-Adap	0.0	952	0	1.0
Faroese-Adap	0.0	3138	0	1.0
Kazakh-Adap	0.0	4453	0	1.0
Kurmanji-Adap	0.0	2742	0	1.0
Naija-Adap	0.0	984	0	1.0
Thai-Adap	0.0	4047	0	1.0
Uyghur-Adap	0.0	9783	0	1.0
Bambara-Adap	0.0	976	0	1.0
Erzya-Adap	0.0	5531	0	1.0
Maltese	0.0	6413	0	1.0
Latvian	11.9978405994	19112	1	1.0
Indonesian	7.86069019366	18658	1	1.0
Urdu	0.180091018974	10222	1	1.0
Portuguese	8.74543745982	41680	4	0.506673303383
English	4.62423871551	23375	2	0.685676478129
Italian	8.11067608497	33544	3	0.518404524126
Russian	22.658531396	129463	11	0.299142180266
Korean	35.5271550764	112964	5	0.574228298561
