Script	Run	Model	Accuracy_Pairs	Accuracy_Full
forWords_Celex_EvaluateWeights_FullData.py	8223399	4517527	0.9323939202026599	0.9187866927592955
forWords_Celex_EvaluateWeights_FullData.py	8254842	6952377	0.9775174160861304	0.976027397260274
forWords_Celex_EvaluateWeights_FullData.py	4754614	972057	0.9683343888537049	0.9584148727984344
forWords_Celex_EvaluateWeights_FullData.py	4255273	8506482	0.883470550981634	0.8617906066536204
forWords_Celex_EvaluateWeights_FullData.py	2740044	6226414	0.9612096263457884	0.9554794520547946
forWords_Celex_EvaluateWeights_FullData.py	7594051	RANDOM	0.513299556681444	0.3994618395303327
forWords_Celex_EvaluateWeights_FullData.py	1866687	6712256	0.9673844205193161	0.9559686888454012
forWords_Celex_EvaluateWeights_FullData.py	2129841	2980412	0.9585180493983534	0.9562133072407045
forWords_Celex_EvaluateWeights_FullData.py	1307948	6952377	0.9775174160861304	0.976027397260274
forWords_Celex_EvaluateWeights_FullData.py	5232676	780748	0.9688093730208993	0.9628180039138943
forWords_Celex_EvaluateWeights_FullData.py	3643725	RANDOM	0.6969601013299557	0.5873287671232876
forWords_Celex_EvaluateWeights_FullData.py	9765306	499466	0.5335655478150728	0.44642857142857145
forWords_Celex_EvaluateWeights_FullData.py	2269012	6712256	0.9673844205193161	0.9559686888454012
forWords_Celex_EvaluateWeights_FullData.py	1192248	4286952	0.9623179227359088	0.9559686888454012
forWords_Celex_EvaluateWeights_FullData.py	7968964	RANDOM	0.472672446287222	0.7074363992172211
forWords_Celex_EvaluateWeights_FullData.py	5117577	972057	0.9683343888537049	0.9584148727984344
forWords_Celex_EvaluateWeights_FullData.py	6220040	4496546	0.9662761241291957	0.9598825831702544
forWords_Celex_EvaluateWeights_FullData.py	1284339	RANDOM	0.6917352754908169	0.5831702544031311
forWords_Celex_EvaluateWeights_FullData.py	3688207	1094736	0.9708676377454085	0.9659980430528375
forWords_Celex_EvaluateWeights_FullData.py	6833676	6712256	0.9673844205193161	0.9559686888454012
forWords_Celex_EvaluateWeights_FullData.py	8392689	564859	0.9829005699810006	0.9814090019569471
forWords_Celex_EvaluateWeights_FullData.py	8540833	RANDOM	0.4187712024123634	0.660958904109589
forWords_Celex_EvaluateWeights_FullData.py	1261999	564859	0.9832172260924635	0.9816536203522505
forWords_Celex_EvaluateWeights_FullData.py	3269958	4286952	0.9623179227359088	0.9559686888454012
forWords_Celex_EvaluateWeights_FullData.py	1416248	6712256	0.9673844205193161	0.9559686888454012
forWords_Celex_EvaluateWeights_FullData.py	933004	499466	0.5335655478150728	0.44642857142857145
forWords_Celex_EvaluateWeights_FullData.py	5227537	9406733	0.9632678910702976	0.9567025440313112
forWords_Celex_EvaluateWeights_FullData.py	5214109	6952377	0.9775174160861304	0.976027397260274
forWords_Celex_EvaluateWeights_FullData.py	2860213	8192725	0.9824255858138062	0.9806751467710372
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	4286952	0.9623179227359088	0.9559686888454012
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	6952377	0.9775174160861304	0.976027397260274
forWords_Celex_EvaluateWeights_FullData.py	8761135	8192725	0.9824255858138062	0.9806751467710372
forWords_Celex_EvaluateWeights_FullData.py	332509	RANDOM	0.3558235959291368	0.6475048923679061
forWords_Celex_EvaluateWeights_FullData.py	1290195	4094539	0.9515516149461685	0.9363992172211351
forWords_Celex_EvaluateWeights_FullData.py	925217	RANDOM	0.6513381078024878	0.8028375733855186
forWords_Celex_EvaluateWeights_FullData.py	8215621	564859	0.9832172260924635	0.9816536203522505
forWords_Celex_EvaluateWeights_FullData.py	3817453	8192725	0.9825839138695377	0.9809197651663405
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	6712256	0.9673844205193161	0.9559686888454012
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	4094539	0.9515516149461685	0.9363992172211351
forWords_Celex_EvaluateWeights_FullData.py	937398	RANDOM	0.3829626837542405	0.6445694716242661
forWords_Celex_EvaluateWeights_FullData.py	8862852	972057	0.9683343888537049	0.9584148727984344
forWords_Celex_EvaluateWeights_FullData.py	829279	8506482	0.883470550981634	0.8617906066536204
forWords_Celex_EvaluateWeights_FullData.py	4874601	4517527	0.9323939202026599	0.9187866927592955
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	9406733	0.9632678910702976	0.9567025440313112
forWords_Celex_EvaluateWeights_FullData.py	5803927	9406733	0.9632678910702976	0.9567025440313112
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	972057	0.9683343888537049	0.9584148727984344
forWords_Celex_EvaluateWeights_FullData.py	5634343	RANDOM	0.2933818872704243	0.1834637964774951
forWords_Celex_EvaluateWeights_FullData.py	109539	6952377	0.9775174160861304	0.976027397260274
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	8192725	0.9824255858138062	0.9806751467710372
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	4496546	0.9662761241291957	0.9598825831702544
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	564859	0.9832172260924635	0.9816536203522505
forWords_Celex_EvaluateWeights_FullData.py	3410657	1094736	0.9708676377454085	0.9659980430528375
forWords_Celex_EvaluateWeights_FullData.py	3309567	RANDOM	0.2447751741608613	0.13625244618395305
forWords_Celex_EvaluateWeights_FullData.py	7527719	972057	0.9688093730208993	0.958904109589041
forWords_Celex_EvaluateWeights_FullData.py	5401475	4496546	0.9662761241291957	0.9598825831702544
forWords_Celex_EvaluateWeights_FullData.py	9089715	780748	0.9688093730208993	0.9628180039138943
forWords_Celex_EvaluateWeights_FullData.py	7725299	564859	0.9832172260924635	0.9816536203522505
forWords_Celex_EvaluateWeights_FullData.py	8449335	6226414	0.9612096263457884	0.9554794520547946
forWords_Celex_EvaluateWeights_FullData.py	4045774	RANDOM	0.7226092463584547	0.6223091976516634
forWords_Celex_EvaluateWeights_FullData.py	1224965	RANDOM	0.7857821405953135	0.7311643835616438
forWords_Celex_EvaluateWeights_FullData.py	9621076	2980412	0.9585180493983534	0.9562133072407045
forWords_Celex_EvaluateWeights_FullData.py	99656	8192725	0.9824255858138062	0.9806751467710372
forWords_Celex_EvaluateWeights_FullData.py	FullData.py	1094736	0.9708676377454085	0.9659980430528375
forWords_Celex_EvaluateWeights_FullData.py	2829361	4094539	0.9515516149461685	0.9363992172211351
